resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
7233,295,31,4,8,1,1,1,1,10,79,"1:43:27.476",6207476,64,3,"1:17.382","227.185",1
7234,295,30,3,2,2,2,2,2,6,79,"+9.259",6216735,68,2,"1:17.078","228.083",1
7235,295,32,3,0,3,3,3,3,4,79,"+33.802",6241278,69,1,"1:16.815","228.864",1
7236,295,35,1,27,5,4,4,4,3,79,"+58.785",6266261,74,4,"1:17.525","226.762",1
7237,295,50,22,6,7,5,5,5,2,79,"+1:18.428",6285904,74,6,"1:18.069","225.155",1
7238,295,49,1,28,10,6,6,6,1,79,"+1:19.467",6286943,73,5,"1:17.659","226.368",1
7239,295,117,17,25,13,7,7,7,0,78,"+1 lap",\N,73,9,"1:18.571","223.684",11
7240,295,102,23,26,14,8,8,8,0,78,"+1 lap",\N,74,8,"1:18.254","224.613",11
7241,295,85,25,14,16,9,9,9,0,78,"+1 lap",\N,63,14,"1:19.349","221.411",11
7242,295,71,9,20,19,10,10,10,0,78,"+1 lap",\N,74,10,"1:18.583","223.649",11
7243,295,77,6,5,8,11,11,11,0,77,"+2 laps",\N,73,7,"1:18.223","224.705",11
7244,295,115,28,29,11,12,12,12,0,77,"+2 laps",\N,73,12,"1:19.043","222.302",11
7245,295,95,10,10,22,13,13,13,0,77,"+2 laps",\N,72,13,"1:19.102","222.131",11
7246,295,34,30,3,23,14,14,14,0,75,"+4 laps",\N,71,15,"1:20.198","218.995",11
7247,295,137,30,4,24,15,15,15,0,75,"+4 laps",\N,62,16,"1:20.651","217.766",11
7248,295,75,26,12,15,16,R,16,0,73,DNF,\N,72,11,"1:18.730","223.219",31
7249,295,57,10,9,9,17,R,17,0,52,DNF,\N,42,17,"1:21.050","216.732",31
7250,295,62,17,23,20,18,R,18,0,43,DNF,\N,38,19,"1:22.091","223.864",3
7251,295,69,5,7,4,19,R,19,0,40,DNF,\N,37,18,"1:21.365","225.864",4
7252,295,18,22,25,12,20,R,20,0,28,DNF,\N,28,21,"1:23.704","224.183",4
7253,295,44,4,7,6,21,R,21,0,19,DNF,\N,19,23,"1:24.496","222.951",31
7254,295,22,51,30,17,22,R,22,0,18,DNF,\N,11,20,"1:23.181","225.683",31
7255,295,55,9,19,18,23,R,23,0,11,DNF,\N,11,24,"1:24.789","222.124",4
7256,295,45,23,24,21,24,R,24,0,10,DNF,\N,7,22,"1:23.753","224.041",22
