constructorId,constructorRef,name,nationality,url
1,ferrari,Ferrari,Italian,"http://en.wikipedia.org/wiki/Scuderia_Ferrari"
3,williams,Williams,British,"http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
4,mclaren,McLaren,British,"http://en.wikipedia.org/wiki/McLaren"
6,racing_point,Racing Point,British,"http://en.wikipedia.org/wiki/Racing_Point_F1_Team"
9,red_bull,Red Bull,Austrian,"http://en.wikipedia.org/wiki/Red_Bull_Racing"
10,renault,Renault,French,"http://en.wikipedia.org/wiki/Renault_in_Formula_One"
117,aston_martin,Aston Martin,British,"http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One"
131,mercedes,Mercedes,German,"http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One"
210,haas,Haas F1 Team,American,"http://en.wikipedia.org/wiki/Haas_F1_Team"
211,manor,Manor,British,"http://en.wikipedia.org/wiki/Manor_Racing"
213,alpine,Alpine F1 Team,French,"http://en.wikipedia.org/wiki/Alpine_F1_Team"
214,alphatauri,AlphaTauri,Italian,"http://en.wikipedia.org/wiki/Scuderia_AlphaTauri"
51,sauber,Sauber,Swiss,"http://en.wikipedia.org/wiki/Sauber_Motorsport"
