resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
26055,1115,830,9,1,1,1,1,1,26,53,"1:30:58.421",5458421,40,1,"1:34.183","222.143",1
26056,1115,846,4,4,2,2,2,2,18,53,"+19.387",5477808,44,4,"1:34.938","220.354",1
26057,1115,857,4,81,3,3,3,3,15,53,"+36.494",5494915,42,6,"1:35.393","219.298",1
26058,1115,844,1,16,4,4,4,4,12,53,"+49.376",5507797,45,7,"1:35.485","219.088",1
26059,1115,1,131,44,7,5,5,5,10,53,"+51.088",5509509,50,2,"1:34.746","220.804",1
26060,1115,832,1,55,6,6,6,6,8,53,"+59.709",5518130,48,9,"1:35.789","218.398",1
26061,1115,858,131,63,8,7,7,7,6,53,"+1:00.639",5519060,51,3,"1:34.853","220.551",1
26062,1115,852,213,10,12,8,8,8,4,53,"+1:03.979",5522400,49,12,"1:36.438","216.969",1
26063,1115,842,213,31,16,9,9,9,2,53,"+1:19.645",5538066,52,5,"1:35.033","220.125",1
26064,1115,854,214,40,11,10,10,10,1,53,"+1:20.730",5539151,36,13,"1:36.505","216.818",1
26065,1115,822,214,22,9,11,11,11,0,53,"+1:24.786",5543207,43,11,"1:36.196","217.498",1
26066,1115,848,3,23,19,12,12,12,0,52,"+1 lap",\N,46,14,"1:36.634","216.533",11
26067,1115,825,210,20,15,13,13,13,0,52,"+1 lap",\N,50,15,"1:36.938","215.864",11
26068,1115,826,3,2,17,14,14,14,0,52,"+1 lap",\N,47,16,"1:37.009","215.709",11
26069,1115,847,210,27,13,15,15,15,0,50,"+3 laps",\N,48,18,"1:37.669","214.275",11
26070,1115,840,117,18,10,16,16,16,0,49,DNF,\N,49,10,"1:35.857","218.243",4
26071,1115,839,51,24,14,17,17,17,0,26,DNF,\N,25,17,"1:37.037","215.648",4
26072,1115,817,51,77,20,18,18,18,0,13,DNF,\N,12,19,"1:39.117","211.181",4
26073,1115,815,9,11,5,19,19,19,0,5,DNF,\N,5,8,"1:35.534","218.966",4
